Year,Month,Day,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,alternative_txt,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,motive,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,addnotes,scite1,scite2,scite3
2017,4,7,198,Sweden,8,Western Europe,Stockholm,Stockholm,59.332722,18.062278,"04/07/2017: An assailant hijacked a vehicle and drove it into a department store in Norrmalm neighborhood, Stockholm, Sweden. At least five people were killed and 14 other people were injured in the attack. In addition, an explosive device was also discovered in the cab of the vehicle following the assault. The assailant, identified as Rakhmat Akilov, claimed he was a supporter of the Islamic State of Iraq and the Levant (ISIL), stating that the attack was carried out in revenge for bombings in Syria.",,Hijacking,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,198.0,Sweden,Jihadi-inspired extremists,"An unaffiliated individual, identified as Rakhmat Akilov, claimed responsibility for the incident and stated that he carried out the attack in retaliation for airstrikes in Syria. He also stated that he supported the Islamic State of Iraq and the Levant (ISIL).",6,Explosives,17.0,Other Explosive Type,5.0,14.0,"The victims included Swedish citizens Lena Wahlberg, Ebba Akerlund, and Marie Kide; Belgian citizen Mailys Dereymaeker; and British citizen Crispin Bevington. Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""EXTRA,"" Deutsche Presse-Agentur, February 20, 2018.","""Xinhua: Suspect In Stockholm Truck Attack Not Insane, Evaluation Concludes,"" Xinhua, May 10, 2017.","""Stockholm Truck Attack Toll Rises To Five,"" Radio Free Europe, April 28, 2017."
2017,4,7,14,Australia,12,Australasia & Oceania,New South Wales,Queanbeyan,-35.349304,149.24438500000002,"04/07/2017: Two assailants stabbed and killed a service station worked on Bungendore Road, Queanbeyan, New South Wales, Australia. No group claimed responsibility for the incident; however, sources believe the attack was inspired by jihadi extremism, as the letters ""IS"" were discovered at the scene.",,Armed Assault,Business,1.0,Gas/Oil/Electric,Caltex Petroleum Australia Pty. Ltd.,Service Station Worker: Zeeshan Akbar,14.0,Australia,Jihadi-inspired extremists,"The specific motive is unknown; however, sources noted that the letters ""IS,"" likely referencing the Islamic State of Iraq and the Levant (ISIL), were discovered at the scene.",9,Melee,23.0,Knife or Other Sharp Object,1.0,0.0,,"""Queanbeyan stabbing death: two teens charged with murder,"" The Guardian, April 7, 2017.","""Two teenagers arrested after fatal stabbing at Queanbeyan service station,"" The Sydney Morning Herald, April 7, 2017.",
2017,4,8,151,Norway,8,Western Europe,Oslo,Oslo,59.912178000000004,10.762815,"04/08/2017: An explosive device was discovered and defused near a metro station in Gronland neighborhood, Oslo, Norway. No group claimed responsibility; however, authorities arrested a 17-year old Russian asylum-seeker, identified as a jihadi-Inspired extremist, in connection with the incident.",,Bombing/Explosion,Unknown,,,Unknown,Unknown,151.0,Norway,Jihadi-inspired extremists,"The specific motive is unknown; however, sources noted that the assailant may have been sympathetic to the Islamic State of Iraq and the Levant (ISIL).",6,Explosives,17.0,Other Explosive Type,0.0,0.0,,"""Norwegian police investigate after bomb-like device defusal in Oslo,"" Deutsche Presse-Agentur, April 9, 2017.","""Norway police defuse 'bomb-like device' in Oslo,"" Al Jazeera, April 9, 2017.","""Oslo police destroy 'bomb-like device',"" BBC, April 9, 2017."
2017,4,20,69,France,8,Western Europe,Ile-de-France,Paris,48.856644,2.34233,"04/20/2017: An assailant opened fire on police personnel on the Champs-Elysees in Paris, France. One police officer was killed and two officers and one German tourist were injured in the attack before the assailant was shot and killed by police forces. Karim Cheurfi claimed responsibility for the incident in a note left at the scene and defended the Islamic State of Iraq and the Levant (ISIL). ISIL also claimed responsibility for the attack; however, Cheurfi's connection to ISIL could not be confirmed.",,Armed Assault,Police,25.0,Police Security Forces/Officers,French Police,Officers,69.0,France,Jihadi-inspired extremists,"Karim Cheurfi, an unaffiliated individual, claimed responsibility for the incident in a note left at the scene and defended the Islamic State of Iraq and the Levant (ISIL).",5,Firearms,2.0,Automatic or Semi-Automatic Rifle,2.0,3.0,The victims included Officer Xavier Jugele.,"""Paris Champs Elysees attack gunman named as Karim Cheurfi,"" BBC, April 21, 2017.","""Hollande honours slain police officer,"" The Herald (Glasgow), April 26, 2017.","""'IS' claims deadly police shooting on Paris' Champs-Elysees,"" Deutsche Welle, April 20, 2017."
2017,4,21,167,Russia,9,Eastern Europe,Khabarovsk,Khabarovsk,48.502731,135.06626,"04/21/2017: An assailant opened fire at a Federal Security Service (FSB) office in Khabarovsk, Russia. Three people, including the assailant, an FSB employee, and a civilian, were killed and another person was injured in the attack. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident; however, sources indicated that the assailant was a Neo-Nazi extremist.",,Armed Assault,Government (General),20.0,Intelligence,Federal Security Service (FSB),Office,167.0,Russia,Islamic State of Iraq and the Levant (ISIL),,5,Firearms,5.0,Unknown Gun Type,3.0,1.0,,"""Gunman attacks regional Russian security service office, kills two,"" Jerusalem Post, April 21, 2017.","""IS claims deadly attack on FSB office in Russia,"" Agence France-Presse Top News (English), t, April 21, 2017.","""Alleged neo-Nazi gunman attacks Russian intelligence office,"" Deutsche Welle, April 21, 2017."
2017,4,28,160,Philippines,5,Southeast Asia,Metropolitan Manila,Manila,14.599352,120.98477199999999,"04/28/2017: An explosive device detonated in Quiapo neighborhood, Manila, Philippines. Fourteen people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident; however, police officials doubted the veracity of this claim.",Other Crime Type,Bombing/Explosion,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,160.0,Philippines,Islamic State of Iraq and the Levant (ISIL),,6,Explosives,31.0,Pipe Bomb,0.0,14.0,There is doubt that this incident meets terrorism-related criteria. Police officials stated that the attack was related to a personal feud among local gangs.,"""Philippines: MPD presents April 28 Quiapo bombing suspect,"" Philstar.com, May 8, 2017.","""Revenge, not ISIS, behind Quiapo explosion, says Lorenzana,"" Philippine Daily Inquirer, April 30, 2017.","""Philippines: Police pooh-poohs ISIS claim to Quiapo blast,"" INQUIRER.net, April 29, 2017."
2017,5,6,160,Philippines,5,Southeast Asia,Metropolitan Manila,Manila,14.599352,120.98477199999999,"05/06/2017: An explosives-laden package detonated at the Imamate Islamic Center in Quiapo neighborhood, Manila, Philippines. At least two people were killed and four other people were injured in the blast. The device was thought to be targeting Nasser Abinal, an Imam at the mosque. This was one of two coordinated attacks in Quiapo on the same night. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents; however, authorities denied that the group was involved.",Other Crime Type,Bombing/Explosion,Religious Figures/Institutions,85.0,Religious Figure,Imamate Islamic Center,Shiite Imam: Nasser Abinal,160.0,Philippines,Islamic State of Iraq and the Levant (ISIL),,6,Explosives,9.0,Letter Bomb,2.0,4.0,There is doubt that this incident meets terrorism-related criteria. Authorities stated that the attack was the result of a personal feud.,"""Quiapo blast probe back to zero,"" Philippines Daily Inquirer, June 1, 2017.","""Philippines says bomb sparked by feud but ISIS claims attack,"" New Delhi Pioneer, May 8, 2017.","""Two Dead, Six Wounded in Twin Bomb Blasts in Manila,"" Latin American Herald Tribune, May 7, 2017."
2017,5,6,160,Philippines,5,Southeast Asia,Metropolitan Manila,Manila,14.599352,120.98477199999999,"05/06/2017: An explosive device detonated at the site of an earlier blast at the Imamate Islamic Center in Quiapo neighborhood, Manila, Philippines. At least two Philippine National Police (PNP) officers were injured in the blast. This was one of two coordinated attacks in Quiapo on the same night. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents; however, authorities denied that the group was involved.",Other Crime Type,Bombing/Explosion,Religious Figures/Institutions,86.0,Place of Worship,Imamate Islamic Center,Mosque,160.0,Philippines,Islamic State of Iraq and the Levant (ISIL),,6,Explosives,7.0,Grenade,0.0,2.0,There is doubt that this incident meets terrorism-related criteria. Authorities stated that the attack was the result of a personal feud.,"""Quiapo blast probe back to zero,"" Philippines Daily Inquirer, June 1, 2017.","""Philippines says bomb sparked by feud but ISIS claims attack,"" New Delhi Pioneer, May 8, 2017.","""Two Dead, Six Wounded in Twin Bomb Blasts in Manila,"" Latin American Herald Tribune, May 7, 2017."
2017,5,7,92,India,6,South Asia,West Bengal,Pichkudijhal,23.218062,88.09873,"05/07/2017: An explosive device detonated inside an All India Trinamool Congress (AITMC) office in Pichkudijhal, West Bengal, India. At least three people were injured in the blast. No group claimed responsibility; however, sources suspected that the attack was carried out by Muslim extremists.",Lack of Intentionality,Bombing/Explosion,Private Citizens & Property,84.0,Political Party Member/Rally,All India Trinamool Congress (AITMC),Office,92.0,India,Muslim extremists,,6,Explosives,17.0,Other Explosive Type,0.0,3.0,"The victims included civilian Hunter Sheikh. Casualty numbers conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here. There is doubt that this incident meets terrorism-related criteria. Sources suspected that the blast may have been the result of bomb manufacturing in the office.","""Blast at TMC office in Burdwan: Trinamool trying to hush up matter, jehadis behind explosion, says BJP,"" Indian Express, May 10, 2017.","""Blast at Trinamool office in Burdwan: Police claim no body found yet, BJP demands NIA probe,"" Indian Express, May 9, 2017.","""BJP seeks NIA probe into Trinamool Cong office blast,"" Political & Business Daily (India), May 9, 2017."
2017,5,18,98,Italy,8,Western Europe,Lombardy,Milan,45.469212,9.174508,"05/18/2017: An assailant armed with a knife stabbed a police officer and two soldiers at a train station in Milan, Lombardy, Italy. The three security personnel were injured in the attack before the assailant was arrested. No group claimed responsibility for the incident; however, sources attributed the attack to a Muslim extremist, identified as Hosni Ismail Tommaso Bejn Yousef.",,Armed Assault,Police,25.0,Police Security Forces/Officers,Department of Public Security (DPS),Officer,98.0,Italy,Jihadi-inspired extremists,"The specific motive is unknown; however, sources noted that Hosni Ismail Tommaso Bejn Yousef's Facebook page included Islamic State of Iraq and the Levant (ISIL) propaganda videos.",9,Melee,23.0,Knife or Other Sharp Object,0.0,3.0,,"""Milan station knife attacker probed for terror (2); Also for attempted murder,"" ANSA English Media Service, May 19, 2017.","""Man stabs policeman and soldier at Milan train station,"" Astro Awani, May 19, 2017.","""Tunisian held in Milan after knifing members of Italian security forces,"" AKI - Adnkronos International, May 19, 2017."
